Totales Territoriales;Comunidades y Ciudades Autonomas;Ramas de actividad;periodo;Total
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2007;7.175.118
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2006;6.703.469
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2005;6.262.523
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2004;5.929.895
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2003;5.746.666
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2002;5.501.014
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2001;5.035.692
Total Nacional;02 Aragón;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2000;4.831.142
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2022 (A);25.822.416
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021 (P);23.549.659
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.711.269
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2018;23.225.369
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2017;22.595.763
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2016;21.692.554
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2015;21.389.062
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2014;20.679.373
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2013;20.768.558
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2012;21.363.404
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2011;22.375.426
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2010;22.733.586
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2009;22.541.896
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2008;23.844.408
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2007;23.105.938
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2006;21.562.413
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2005;19.843.031
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2004;18.299.196
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2003;17.208.849
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2002;16.299.205
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2001;15.409.649
Total Nacional;03 Asturias, Principado de;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2000;14.305.047
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2022 (A);5.311.403
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2021 (P);4.572.369
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2020;3.762.056
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2019;4.239.988
Total Nacional;03 Asturias, Principado de;B_E. Industrias extractivas, industria manufacturera, suministro de energia electrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestion de residuos y descontaminacion;2018;4.254.859
